@relation WA_Fn-UseC_-Telco-Customer-Churn-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemovePercentage-P80.0-V-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute gender {Female,Male}
@attribute SeniorCitizen numeric
@attribute Partner {Yes,No}
@attribute Dependents {No,Yes}
@attribute tenure numeric
@attribute PhoneService {No,Yes}
@attribute MultipleLines {'No phone service',No,Yes}
@attribute InternetService {DSL,'Fiber optic',No}
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute OnlineBackup {Yes,No,'No internet service'}
@attribute DeviceProtection {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute StreamingTV {No,Yes,'No internet service'}
@attribute StreamingMovies {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}  
@attribute PaperlessBilling {Yes,No}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute MonthlyCharges numeric
@attribute TotalCharges numeric
@attribute Churn {No,Yes}

@data
Male,0,Yes,Yes,66,Yes,No,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',103.15,7031.3,No
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,'Two year',No,'Credit card (automatic)',72.1,5016.65,No
Female,0,Yes,No,41,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',113.6,4594.95,Yes
Female,0,Yes,Yes,23,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',25.1,611.45,No
Female,0,No,No,29,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',78.9,2384.15,Yes
Female,0,No,No,4,Yes,Yes,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',80.15,319.85,No
Male,0,Yes,Yes,6,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',25.4,153.3,No
Female,1,Yes,No,67,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,No,Yes,'One year',Yes,'Credit card (automatic)',105.4,7035.6,No
Male,1,No,Yes,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',45.75,344.2,No
Male,0,Yes,Yes,56,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',24.45,1431.65,No
Female,0,Yes,No,72,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',25,1849.2,No
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Electronic check',85.25,6083.1,No
Male,0,Yes,Yes,23,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.6,426.65,No
Female,0,No,Yes,35,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',50.15,1655.35,No
Male,1,Yes,No,27,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',70.55,1943.9,No
Female,0,Yes,Yes,26,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,'Electronic check',60.05,1616.15,Yes
Male,0,Yes,Yes,12,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',26.4,314.95,No
Female,0,No,No,40,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.15,804.85,No
Male,0,Yes,Yes,7,No,'No phone service',DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,'Mailed check',58.85,465.7,No
Male,0,Yes,Yes,70,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,No,Month-to-month,Yes,'Credit card (automatic)',97.55,6669.05,No
Male,0,Yes,Yes,60,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.65,1161.75,No
Male,0,Yes,Yes,39,No,'No phone service',DSL,No,No,No,No,No,No,'One year',Yes,'Credit card (automatic)',25.25,947.75,No
Male,0,Yes,No,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',114.45,8375.05,No
Female,0,No,No,1,No,'No phone service',DSL,No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',34.7,34.7,Yes
Male,0,Yes,Yes,54,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,'One year',Yes,'Electronic check',70.7,3770,No
Male,0,No,No,3,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85.3,264.8,Yes
Female,0,Yes,Yes,63,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,'Two year',No,'Credit card (automatic)',75.55,4707.85,No
Male,0,Yes,Yes,71,Yes,Yes,'Fiber optic',No,Yes,No,Yes,No,No,'Two year',Yes,'Electronic check',84.8,6152.4,No
Female,0,No,No,42,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',20.65,958.1,No
Male,0,No,No,47,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',20.45,943,No
Female,0,Yes,Yes,66,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',102.45,6615.15,Yes
Female,0,Yes,No,21,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',104.4,2200.25,Yes
Male,0,No,No,11,No,'No phone service',DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,'Electronic check',35.65,425.1,No
Male,0,No,Yes,1,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',99.75,99.75,Yes
Female,1,Yes,No,55,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,No,No,Month-to-month,No,'Electronic check',90.45,5044.8,No
Male,0,No,No,69,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,No,'Two year',Yes,'Credit card (automatic)',97.65,6743.55,No
Female,1,No,No,3,Yes,No,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,No,'Electronic check',73.85,196.4,No
Male,0,No,No,4,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',74.4,299.7,Yes
Male,1,No,No,30,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,'Two year',Yes,'Credit card (automatic)',69.1,2093.9,No
Female,0,No,No,5,Yes,Yes,'Fiber optic',No,No,Yes,Yes,No,No,Month-to-month,Yes,'Electronic check',82.75,417.75,No
Female,0,Yes,No,71,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',24.4,1725.4,No
Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,No,'One year',Yes,'Electronic check',55.25,1620.2,No
Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,'Bank transfer (automatic)',61.35,3169.55,No
Male,0,No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,'One year',No,'Credit card (automatic)',76.75,5233.25,No
Female,0,Yes,Yes,46,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.4,967.85,No
Male,0,No,No,8,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Credit card (automatic)',54.75,438.05,No
Male,0,Yes,No,72,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.7,1421.9,No
Female,0,No,No,17,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',19.9,323.15,No
Male,0,No,No,3,Yes,No,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',107.95,318.6,No
Female,1,No,No,2,Yes,No,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',83.8,163.7,No
Female,0,No,No,9,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',74.25,639.65,Yes
Female,0,No,No,51,No,'No phone service',DSL,No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',56.4,2928.5,No
Female,0,Yes,Yes,6,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.1,100.35,No
Female,0,Yes,No,3,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',94.9,273.2,No
Female,1,No,No,17,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',94.2,1608.15,No
Male,0,Yes,No,30,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,'Electronic check',49.9,1441.95,No
Male,0,No,No,31,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,'Electronic check',71.05,2168.15,No
Female,0,No,No,45,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',81.65,3618.7,No
Male,0,Yes,No,64,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,No,No,'One year',No,'Bank transfer (automatic)',89.45,5692.65,No
Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',59.85,59.85,Yes
Female,1,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.6,69.6,Yes
Male,1,Yes,Yes,61,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,'One year',No,'Electronic check',99,5969.3,No
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.05,19.05,No
Male,0,No,No,9,No,'No phone service',DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',45.4,418.8,Yes
Male,0,Yes,Yes,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',114.45,8100.55,No
Female,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.5,19.5,Yes
Female,0,Yes,No,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',44.25,313.45,No
Female,0,Yes,No,66,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,No,No,'One year',Yes,'Bank transfer (automatic)',90.55,6130.95,No
Male,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.9,69.9,Yes
Male,0,Yes,Yes,40,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Bank transfer (automatic)',20.4,745.3,No
Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',71.4,1212.1,No
Female,0,No,No,2,Yes,No,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',87.15,183.75,Yes
Male,0,Yes,No,67,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',24.85,1583.5,No
Female,0,Yes,No,41,Yes,No,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',104.45,4162.05,No
Female,0,Yes,Yes,56,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',19.8,1119.9,No
Female,0,No,No,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',116.45,8013.55,No
Female,0,Yes,Yes,3,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',84.75,264.85,Yes
Female,0,Yes,No,54,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',20.05,1102.4,No
Male,1,No,No,52,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',110.75,5832,No
Female,0,No,No,50,Yes,No,'Fiber optic',No,No,Yes,Yes,No,Yes,'Two year',Yes,'Bank transfer (automatic)',89.7,4304.5,No
Male,0,No,No,14,Yes,Yes,'Fiber optic',No,No,No,Yes,Yes,No,Month-to-month,Yes,'Electronic check',89.95,1178.4,Yes
Male,0,Yes,No,27,Yes,No,DSL,Yes,No,No,No,No,No,'One year',No,'Credit card (automatic)',48.7,1421.75,No
Female,1,Yes,No,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,No,No,'Two year',Yes,'Bank transfer (automatic)',96.6,6827.5,No
Male,0,No,No,62,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',74.3,4698.05,No
Female,0,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,'Electronic check',54.3,654.5,No
Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,'One year',No,'Bank transfer (automatic)',74.85,3268.05,No
Male,0,Yes,Yes,54,Yes,No,'Fiber optic',No,Yes,No,Yes,No,No,'Two year',Yes,'Bank transfer (automatic)',79.95,4362.05,No
Female,0,No,No,68,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',20.05,1386.9,No
Male,0,No,No,20,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.4,415.4,No
Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,No,No,No,'One year',No,'Bank transfer (automatic)',54.9,2614.1,No
Male,0,No,No,58,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',24.45,1513.6,No
Male,0,Yes,Yes,35,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',89.65,3161.6,No
Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',45.4,80.95,No
Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,'Two year',No,'Mailed check',75.7,4676.7,No
Female,0,Yes,No,58,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',110.65,6526.65,No
Female,0,Yes,Yes,27,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',20.55,583.3,No
Female,0,Yes,No,71,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',115.15,8078.1,No
Female,0,No,No,63,Yes,No,DSL,No,No,Yes,No,No,Yes,'One year',No,'Credit card (automatic)',58.55,3503.5,No
Male,0,Yes,No,71,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',93.25,6669.45,No
Female,1,No,No,41,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',113.2,4689.5,Yes
Male,1,No,No,13,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',90.5,1201.15,Yes
Male,0,No,No,2,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,No,'Electronic check',79,143.65,Yes
Female,0,Yes,Yes,68,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',19.35,1292.65,No
Male,0,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,'Mailed check',48.75,48.75,No
Male,1,No,No,65,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',109.05,7108.2,No
Male,1,Yes,No,72,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',25,1802.55,No
Female,0,No,No,28,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,'Credit card (automatic)',54.9,1505.15,No
Male,0,Yes,Yes,72,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',24.75,1859.1,No
Female,0,No,No,2,Yes,No,'Fiber optic',Yes,Yes,No,No,Yes,No,Month-to-month,Yes,'Electronic check',91.15,168.5,No
Female,0,No,Yes,18,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',20.15,390.85,Yes
Male,1,Yes,No,60,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Electronic check',104.35,6339.45,No
Female,1,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,'Electronic check',66.05,1652.4,No
Male,0,No,Yes,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',71.65,71.65,Yes
Female,0,No,No,4,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.35,77.5,Yes
Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',92.2,6392.85,No
Female,0,No,No,38,Yes,No,'Fiber optic',No,Yes,Yes,Yes,No,No,Month-to-month,Yes,'Credit card (automatic)',84.25,3264.5,Yes
Female,1,Yes,No,42,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',105.2,4599.15,No
Female,0,Yes,No,57,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',19.6,1134.25,No
Male,0,Yes,No,54,No,'No phone service',DSL,No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',30.4,1621.35,No
Female,0,No,No,12,Yes,No,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,No,'Bank transfer (automatic)',78.1,947.3,Yes
Female,0,Yes,No,44,Yes,No,DSL,Yes,Yes,Yes,No,No,No,'One year',Yes,'Mailed check',61.5,2722.2,No
Male,0,Yes,Yes,42,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',69.4,3058.3,No
Male,0,Yes,Yes,72,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',24.75,1769.6,No
Female,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Mailed check',91.05,6293.75,No
Female,0,Yes,No,19,Yes,Yes,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,No,'Mailed check',89.65,1761.05,Yes
Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',73.65,1642.75,No
Female,0,No,No,30,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.4,578.5,No
Male,0,No,No,35,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',26.2,954.9,No
Female,0,No,No,10,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',98.7,973.25,Yes
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',43.85,43.85,No
Male,0,No,No,22,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',69.7,1490.4,No
Male,0,Yes,Yes,7,No,'No phone service',DSL,Yes,Yes,Yes,No,No,No,'Two year',No,'Mailed check',38.55,280,No
Female,0,No,No,36,No,'No phone service',DSL,Yes,Yes,Yes,Yes,No,Yes,'Two year',Yes,'Mailed check',53.1,1901.25,No
Female,0,Yes,Yes,34,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.65,716.4,No
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,'Two year',No,'Credit card (automatic)',64.45,4720,No
Male,0,Yes,Yes,36,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',25.1,930.95,No
Female,0,No,No,1,Yes,No,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,No,'Electronic check',76.35,76.35,Yes
Female,0,No,No,23,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',79.15,1676.95,Yes
Male,1,Yes,No,32,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85,2642.05,Yes
Female,0,Yes,Yes,71,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,No,No,'One year',Yes,'Credit card (automatic)',95.15,6770.85,No
Female,1,No,No,23,Yes,Yes,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Mailed check',79.35,1835.3,No
Male,0,Yes,No,17,Yes,No,'Fiber optic',No,No,Yes,No,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',96.65,1588.25,No
Male,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',75.5,75.5,No
Male,0,Yes,Yes,12,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.7,258.35,No
Female,0,Yes,No,72,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',20.5,1502.25,No
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.2,19.2,No
Male,1,Yes,No,72,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,'Two year',No,'Bank transfer (automatic)',98.35,6929.4,No
Male,0,Yes,Yes,60,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Bank transfer (automatic)',74.35,4453.3,No
Female,0,Yes,Yes,61,No,'No phone service',DSL,No,Yes,Yes,Yes,Yes,No,'Two year',No,'Credit card (automatic)',51.35,3244.4,No
Female,0,Yes,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',45.65,323.45,No
Male,1,Yes,No,32,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,No,'Electronic check',85.3,2661.1,Yes
Female,0,No,Yes,31,Yes,Yes,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Credit card (automatic)',86.55,2697.4,Yes
Male,0,No,No,19,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',73.85,1424.5,Yes
Male,0,Yes,Yes,72,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',20.3,1401.15,No
Female,0,No,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',54.2,1739.6,No
Male,0,Yes,No,65,Yes,Yes,'Fiber optic',No,Yes,No,No,No,Yes,Month-to-month,Yes,'Electronic check',90.65,5931,No
Female,0,Yes,Yes,45,No,'No phone service',DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',50.9,2333.85,No
Male,0,No,No,42,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Electronic check',25.05,949.85,No
Male,0,No,No,8,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.85,572.45,No
Male,0,No,Yes,32,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.5,696.8,No
Female,1,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,'Mailed check',63.55,1381.8,No
Male,1,Yes,No,57,No,'No phone service',DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',44.85,2572.95,Yes
Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,'Electronic check',47.95,47.95,No
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Electronic check',45.1,45.1,Yes
Female,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',45,45,No
Male,0,No,No,24,Yes,No,'Fiber optic',No,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',96,2122.45,Yes
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Bank transfer (automatic)',20.05,20.05,Yes
Male,1,No,No,54,Yes,Yes,'Fiber optic',No,Yes,No,No,No,Yes,Month-to-month,Yes,'Electronic check',90.05,4931.8,No
Female,0,No,No,4,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',25.3,116.95,No
Male,0,Yes,Yes,65,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',108.65,6937.95,Yes
Female,0,Yes,No,56,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Electronic check',24.3,1261.7,No
Male,0,No,No,45,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',75.95,3273.8,No
Female,0,Yes,Yes,71,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.7,1415.85,No
Male,0,Yes,No,59,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,'One year',No,'Credit card (automatic)',66.4,3958.2,No
Male,0,No,No,69,No,'No phone service',DSL,No,Yes,Yes,No,No,No,'One year',Yes,'Bank transfer (automatic)',35.75,2492.25,No
Male,0,No,No,19,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',18.8,279.2,No
Female,0,Yes,Yes,55,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.4,1083,No
Female,0,No,No,38,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.3,755.5,No
Male,0,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',45.55,402.6,Yes
Female,1,Yes,No,47,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,'Credit card (automatic)',67.45,3252,No
